landscape_id,alpha,alpha_minus_one,alpha_minus_frozen_median,correction_direction
S01,1.018112088514794,0.018112088514794067,0.02297641869766176,above-one
S02,0.9983132644141371,-0.001686735585862853,0.0031775945970048403,below-one
S03,0.9917329615843957,-0.008267038415604278,-0.0034027082327365843,below-one
S04,0.9926813798094519,-0.007318620190548075,-0.002454290007680382,below-one
S05,0.9952007081097122,-0.004799291890287827,6.503829257986649e-05,below-one
S06,0.9950706315245526,-0.004929368475447449,-6.503829257975546e-05,below-one
S07,0.9908916501072214,-0.009108349892778644,-0.004244019709910951,below-one
S08,0.9862526429434814,-0.013747357056518639,-0.008883026873650945,below-one
S09,0.9974321769669248,-0.002567823033075234,0.0022965071497924594,below-one
S10,0.994926858279388,-0.005073141720612018,-0.00020881153774432448,below-one
S11,0.9982442988098386,-0.0017557011901614406,0.0031086289927062527,below-one
S12,0.9999734263119886,-2.657368801139981e-05,0.0048377564948562934,below-one
